sample-id	plant-id	plant-species	date-pupated	date-eclosed	alternative-id	season	pupation-to-eclosion
w3mp_Asi65	JI11	incarnata	6/24/23	7/2/23	NA	summer	8
w3mp_Asi66	JI6	incarnata	6/24/23	7/3/23	NA	summer	9
w3mp_Asi67	JI25	incarnata	6/24/23	7/3/23	NA	summer	9
w3mp_Asi68	JI2	incarnata	6/24/23	7/3/23	NA	summer	9
w3mp_Asi69	JI10	incarnata	6/24/23	7/3/23	NA	summer	9
w3mp_Asi70	JI15	incarnata	6/24/23	7/3/23	NA	summer	9
w3mp_Asi71	JI21	incarnata	6/24/23	7/3/23	NA	summer	9
w3mp_Asc72	JC29	curassavica	6/26/23	7/4/23	NA	summer	8
w3mp_Asc73	JC22	curassavica	6/26/23	7/4/23	NA	summer	8
w3mp_Asc74	JC15	curassavica	6/26/23	7/4/23	NA	summer	8
w3mp_Asc75	JC17	curassavica	6/26/23	7/4/23	NA	summer	8
w3mp_Asi76	JI18	incarnata	6/26/23	7/4/23	NA	summer	8
w3mp_Asc77	JC2	curassavica	6/26/23	7/4/23	NA	summer	8
w3mp_Asi78	JI1	incarnata	6/25/23	7/4/23	NA	summer	9
w3mp_Asi79	JI19	incarnata	6/25/23	7/4/23	NA	summer	9
w3mp_Asi80	JI18	incarnata	6/26/23	7/4/23	NA	summer	8
w3mp_Asi81	JI6	incarnata	6/24/23	7/4/23	NA	summer	10
w3mp_Asc82	JC27	curassavica	6/26/23	7/4/23	NA	summer	8
w3mp_Asc83	JC18	curassavica	6/26/23	7/4/23	NA	summer	8
w3mp_Asc92	JC3	curassavica	6/26/23	7/5/23	NA	summer	9
w3mp_Asc93	JC7	curassavica	6/26/23	7/5/23	NA	summer	9
w3mp_Asc94	JC18	curassavica	unknown	7/5/23	NA	summer	NA
w3mp_Asi95	JI22	incarnata	6/26/23	7/5/23	NA	summer	9
w3mp_Asi98	JI8	incarnata	unknown	7/6/23	NA	summer	NA
w3mp_Asc99	JC13	curassavica	6/27/23	7/6/23	NA	summer	9
w3mp_Asc100	JC16	curassavica	6/27/23	7/6/23	NA	summer	9
w3mp_Asc101	JC26	curassavica	6/28/23	7/6/23	NA	summer	8
w3mp_Asi102	JI12	incarnata	6/27/23	7/7/23	NA	summer	10
w3mp_Asi103	JI24	incarnata	6/27/23	7/7/23	NA	summer	10
w3mp_Asc104	JC13	curassavica	6/28/23	7/7/23	NA	summer	9
w3mp_Asc105	JC25	curassavica	6/29/23	7/3/23	NA	summer	4
w3mp_Asi106	JI27	incarnata	unknown	7/8/23	NA	summer	NA
w3mp_Asc107	JC24	curassavica	6/29/23	7/8/23	NA	summer	9
w3mp_Asc108	JC25	curassavica	6/29/23	7/8/23	NA	summer	9
w3mp_Asi109	JI3	incarnata	6/29/23	7/9/23	NA	summer	10
w3mp_Asi110	JI15	incarnata	6/24/23	7/3/23	I1	summer	9
w3mp_Asi111	JI11	incarnata	6/25/23	7/3/23	I2	summer	8
w3mp_Asi112	JI5	incarnata	6/25/23	7/3/23	I3	summer	8
w3mp_Asi113	JI9	incarnata	6/24/23	7/3/23	I4	summer	9
w3mp_Asi114	JI17	incarnata	6/25/23	7/3/23	I5	summer	8
w3mp_Asi115	JI14	incarnata	6/24/23	7/3/23	I6	summer	9
w3mp_Asi116	JI14	incarnata	6/24/23	7/3/23	I7	summer	9
w3mp_Asi117	JI26	incarnata	6/24/23	7/3/23	I8	summer	9
w3mp_Asi118	JI26	incarnata	6/25/23	7/3/23	I9	summer	8
w3mp_Asc119	JC11	curassavica	6/26/23	7/4/23	C1	summer	8
w3mp_Asc120	JC29	curassavica	6/26/23	7/4/23	C2	summer	8
w3mp_Asc121	JC22	curassavica	6/26/23	7/4/23	C3	summer	8
w3mp_Asc122	JC2	curassavica	6/26/23	7/4/23	C4	summer	8
w3mp_Asc123	JC4	curassavica	6/26/23	7/4/23	C5	summer	8
w3mp_Asc124	JC10	curassavica	6/26/23	7/4/23	C6	summer	8
w3mp_Asc125	JC6	curassavica	6/27/23	7/5/23	C7	summer	8
w3mp_Asc126	JC17	curassavica	6/26/23	7/5/23	C8	summer	9
w3mp_Asc127	JC28	curassavica	6/25/23	7/5/23	C9	summer	10
w3mp_Asi128	JI16	incarnata	6/27/23	7/6/23	I10	summer	9
w3mp_Asc129	JC20	curassavica	6/28/23	7/6/23	C10	summer	8
w3mp_Asc130	JC26	curassavica	6/28/23	7/6/23	C11	summer	8
w3mp_Asc131	JC20	curassavica	6/28/23	7/7/23	C12	summer	9
w3mp_Asi132	JI4	incarnata	6/30/23	7/8/23	I11	summer	8
w3mp_Asc133	JC23	curassavica	6/29/23	7/8/23	C13	summer	9
w3mp_Asc134	JC25	curassavica	6/29/23	7/8/23	C14	summer	9
w3mp_Asc135	JC14	curassavica	6/29/23	7/8/23	C15	summer	9
w3mp_Asi136	JI28	incarnata	7/1/23	7/9/23	I12	summer	8
w3mp_Asi137	JI4	incarnata	6/30/23	7/9/23	I13	summer	9