days_post_on_plant	number_of_pupations_summer	number_of_pupations_fall	proportion_of_total_pupations_summer	proportion_of_total_pupations_fall	proportion_of_total_individuals_summer	proportion_of_total_individuals_summer
0	0	0	0	0	0	0
1	0	0	0	0	0	0
2	0	0	0	0	0	0
3	0	0	0	0	0	0
4	0	0	0	0	0	0
5	0	0	0	0	0	0
6	0	0	0	0	0	0
7	0	0	0	0	0	0
8	0	0	0	0	0	0
9	4	0	0.040816327	0	0.02962963	0
10	27	0	0.316326531	0	0.22962963	0
11	22	0	0.540816327	0	0.392592593	0
12	25	0	0.795918367	0	0.577777778	0
13	15	0	0.948979592	0	0.688888889	0
14	4	0	0.989795918	0	0.718518519	0
15	1	0	1	0	0.725925926	0
16	0	0	1	0	0.725925926	0
17	0	0	1	0	0.725925926	0
18	0	2	1	0.068965517	0.725925926	0.013333333
19	0	0	1	0.068965517	0.725925926	0.013333333
20	0	1	1	0.103448276	0.725925926	0.02
21	0	0	1	0.103448276	0.725925926	0.02
22	0	2	1	0.172413793	0.725925926	0.033333333
23	0	0	1	0.172413793	0.725925926	0.033333333
24	0	0	1	0.172413793	0.725925926	0.033333333
25	0	6	1	0.379310345	0.725925926	0.073333333
26	0	10	1	0.724137931	0.725925926	0.14
27	0	1	1	0.75862069	0.725925926	0.146666667
28	0	1	1	0.793103448	0.725925926	0.153333333
29	0	0	1	0.793103448	0.725925926	0.153333333
30	0	0	1	0.793103448	0.725925926	0.153333333
31	0	0	1	0.793103448	0.725925926	0.153333333
32	0	0	1	0.793103448	0.725925926	0.153333333
33	0	0	1	0.793103448	0.725925926	0.153333333
34	0	1	1	0.827586207	0.725925926	0.16
35	0	2	1	0.896551724	0.725925926	0.173333333
36	0	0	1	0.896551724	0.725925926	0.173333333
37	0	1	1	0.931034483	0.725925926	0.18
38	0	0	1	0.931034483	0.725925926	0.18
39	0	0	1	0.931034483	0.725925926	0.18
40	0	0	1	0.931034483	0.725925926	0.18
41	0	0	1	0.931034483	0.725925926	0.18
42	0	0	1	0.931034483	0.725925926	0.18
43	0	0	1	0.931034483	0.725925926	0.18
44	0	1	1	0.965517241	0.725925926	0.186666667
45	0	0	1	0.965517241	0.725925926	0.186666667
46	0	0	1	0.965517241	0.725925926	0.186666667
47	0	0	1	0.965517241	0.725925926	0.186666667
48	0	0	1	0.965517241	0.725925926	0.186666667
49	0	0	1	0.965517241	0.725925926	0.186666667
50	0	0	1	0.965517241	0.725925926	0.186666667
51	0	0	1	0.965517241	0.725925926	0.186666667
52	0	0	1	0.965517241	0.725925926	0.186666667
53	0	0	1	0.965517241	0.725925926	0.186666667
54	0	0	1	0.965517241	0.725925926	0.186666667
55	0	0	1	0.965517241	0.725925926	0.186666667
56	0	0	1	0.965517241	0.725925926	0.186666667
57	0	0	1	0.965517241	0.725925926	0.186666667
58	0	1	1	1	0.725925926	0.193333333