individual-id	sex	date-eclosed	mating-cage
TUb10	F	05-22-2023	1
AB8	F	05-17-2023	2
AT9	F	05-25-2023	1
AI9	F	05-24-2023	1
TI11	F	05-27-2023	1
WL8	F	05-25-2023	1
UL2	F	05-27-2023	2
WAb9	F	05-18-2023	1
KL9	F	05-17-2023	1
KLb5	F	05-18-2023	2
LN1	F	05-19-2023	1
RB5	F	05-25-2023	2
IJ8	F	05-24-2023	2
EJ6	F	05-26-2023	2
TI10	M	05-27-2023	2
UL4	M	05-27-2023	1
TUb12	M	05-22-2023	1
WL1	M	05-26-2023	1
RB7	M	05-25-2023	2
IJ5	M	05-24-2023	2
KL2	M	05-18-2023	1
LN4	M	05-21-2023	1
EF3	M	05-22-2023	1
AT1	M	05-27-2023	2
AB6	M	05-17-2023	2
AI8	M	05-25-2023	2