pupation-event-uid	season	plant-id	pupation-count	date	relative-position-s	notes
06-24-2023JC8	summer	JC8	1	6/24/23	NA	J at pupation check
06-24-2023JI7	summer	JI7	1	6/24/23	NA	NA
06-24-2023JI6	summer	JI6	1	6/24/23	NA	J at pupation check
06-24-2023JI2	summer	JI2	1	6/24/23	NA	NA
06-24-2023JI9	summer	JI9	2	6/24/23	NA	NA
06-24-2023JI10	summer	JI10	2	6/24/23	both	Left J at pupation check
06-24-2023JI11	summer	JI11	1	6/24/23	left	NA
06-24-2023JI14	summer	JI14	2	6/24/23	NA	NA
06-24-2023JI15	summer	JI15	2	6/24/23	NA	Left J at pupation check
06-24-2023JI21	summer	JI21	1	6/24/23	left	Left J at pupation check
06-24-2023JI25	summer	JI25	2	6/24/23	both	Right J at pupation check
06-24-2023JI26	summer	JI26	1	6/24/23	middle	J at pupation check
06-24-2023JI29	summer	JI29	1	6/24/23	NA	died during pupation
06-25-2023JI1	summer	JI1	1	6/25/23	NA	NA
06-25-2023JI5	summer	JI5	2	6/25/23	NA	NA
06-25-2023JC9	summer	JC9	1	6/25/23	NA	J at pupation check
06-25-2023JI17	summer	JI17	2	6/25/23	NA	NA
06-25-2023JI11	summer	JI11	1	6/25/23	right	NA
06-25-2023JI14	summer	JI14	1	6/25/23	leftmost	NA
06-25-2023JI20	summer	JI20	1	6/25/23	right	Right J at pupation check
06-25-2023JI21	summer	JI21	1	6/25/23	right	Right J at pupation check
06-25-2023JI26	summer	JI26	2	6/25/23	rightmost-and-leftmost	NA
06-25-2023JC28	summer	JC28	1	6/25/23	right	Right J at pupation check
06-25-2023JI19	summer	JI19	2	6/25/23	NA	Both J at pupation check
06-25-2023JC1	summer	JC1	1	6/25/23	NA	J at pupation check
06-26-2023JC7	summer	JC7	2	6/26/23	NA	NA
06-26-2023JC2	summer	JC2	3	6/26/23	NA	NA
06-26-2023JC3	summer	JC3	2	6/26/23	rightmost-and-leftmost	NA
06-26-2023JC4	summer	JC4	2	6/26/23	NA	NA
06-26-2023JI18	summer	JI18	2	6/26/23	NA	NA
06-26-2023JC18	summer	JC18	1	6/26/23	right	NA
06-26-2023JC10	summer	JC10	1	6/26/23	right	NA
06-26-2023JC17	summer	JC17	1	6/26/23	right	NA
06-26-2023JC11	summer	JC11	1	6/26/23	right	NA
06-26-2023JI13	summer	JI13	1	6/26/23	right	Right J at pupation check
06-26-2023JI14	summer	JI14	1	6/26/23	right	NA
06-26-2023JC15	summer	JC15	2	6/26/23	NA	NA
06-26-2023JC22	summer	JC22	2	6/26/23	NA	Both on leaves
06-26-2023JI23	summer	JI23	2	6/26/23	NA	Left J at pupation check
06-26-2023JI21	summer	JI21	1	6/26/23	left	NA
06-26-2023JI22	summer	JI22	2	6/26/23	NA	Both J at pupation check
06-26-2023JC27	summer	JC27	1	6/26/23	NA	NA
06-26-2023JC29	summer	JC29	3	6/26/23	NA	NA
06-26-2023JC5	summer	JC5	1	6/26/23	NA	J at pupation check
06-27-2023JC6	summer	JC6	2	6/27/23	NA	NA
06-27-2023JC3	summer	JC3	1	6/27/23	middle	NA
06-27-2023JC19	summer	JC19	1	6/27/23	NA	NA
06-27-2023JC11	summer	JC11	1	6/27/23	left	Left J at pupation check
06-27-2023JI16	summer	JI16	2	6/27/23	NA	NA
06-27-2023JI12	summer	JI12	2	6/27/23	NA	NA
06-27-2023JI13	summer	JI13	1	6/27/23	left	NA
06-27-2023JI20	summer	JI20	1	6/27/23	NA	On stem
06-27-2023JI24	summer	JI24	1	6/27/23	right	Right J at pupation check
06-27-2023JC13	summer	JC13	2	6/27/23	two-rightmost	Right J at pupation check
06-27-2023JC16	summer	JC16	2	6/27/23	NA	Both J at pupation check
06-28-2023JC13	summer	JC13	1	6/28/23	left	NA
06-28-2023JC20	summer	JC20	2	6/28/23	leftmost	Left J at pupation check
06-28-2023JC26	summer	JC26	3	6/28/23	NA	Right J at pupation check
06-29-2023JC18	summer	JC18	2	6/29/23	middle-and-left	Unsure about pupation date
06-29-2023JI3	summer	JI3	1	6/29/23	NA	J at pupation check
06-29-2023JC14	summer	JC14	1	6/29/23	NA	J at pupation check
06-29-2023JC23	summer	JC23	1	6/29/23	NA	J at pupation check
06-29-2023JC25	summer	JC25	3	6/29/23	NA	2 leftmost J at pupation check
06-29-2023JC24	summer	JC24	1	6/29/23	NA	J at pupation check
06-30-2023JI4	summer	JI4	1	6/30/23	left	NA
unknownJI8	summer	JI8	1	unknown	NA	on leaf
unknownJI27	summer	JI27	1	unknown	NA	on leaf
07-01-2023JI28	summer	JI28	1	7/1/23	NA	on leaf
10-22-2023OC22	fall	OC22	1	10/22/23	left	NA
10-23-2022OC26	fall	OC26	1	10/23/23	rightmost	NA
10-25-2023OC26	fall	OC26	1	10/25/23	leftmost	NA
10-26-2023OI4	fall	OI4	1	10/26/23	left	NA
10-26-2023OC9	fall	OC9	1	10/26/23	net	NA
10-30-2023OC1	fall	OC1	1	10/30/23	left	NA
10-30-2023OI4	fall	OI4	2	10/30/23	rightmost-and-leftmost	NA
10-30-2023OC9	fall	OC9	2	10/30/23	left-and-net	NA
10-30-2023OI10	fall	OI10	1	10/30/23	left	NA
10-30-2023OI20	fall	OI20	1	10/30/23	right	NA
10-30-2023OC22	fall	OC22	2	10/30/23	left-and-net	NA
10-30-2023OC23	fall	OC23	2	10/30/23	right-and-net	NA
10-30-2023OC26	fall	OC26	2	10/30/23	right-and-rightmost	NA
10-30-2023OC24	fall	OC24	1	10/30/23	right	NA
10-30-2023OC27	fall	OC27	1	10/30/23	right	NA
11-1-2023OI6	fall	OI6	1	11/1/23	net	NA
11-1-2023OC17	fall	OC17	1	11/1/23	right	NA
11-1-2023OC21	fall	OC21	1	11/1/23	left	NA
11-9-2023OI12	fall	OI12	1	11/9/23	right	NA
11-9-2023OC23	fall	OC23	1	11/9/23	left	NA
11-9-2023OC2	fall	OC2	1	11/9/23	right	NA
11-11-2023OC1	fall	OC1	1	11/11/23	right	NA
11-19-2023OC3	fall	OC3	1	11/19/23	middle	NA